name,nickname,congressman_id,party_code,party_name,email
Marina Rocha,Marina Rocha,45,PMB,Partido da Mulher Brasileira,marinarocha@alerj.rj.gov.br
Max Rodrigues Lemos,Max Lemos,47,MDB,Movimento Democrático Brasileiro,maxlemos@alerj.rj.gov.br
Mônica Santos Francisco,Mônica Francisco,48,PSOL,Partido Socialismo e Liberdade,monicafrancisco@alerj.rj.gov.br
Renan Ferreirinha Carneiro,Renan Ferreirinha,49,PSB,Partido Socialista Brasileiro,renanferreirinha@alerj.rj.gov.br
Renata Da Silva Souza,Renata Souza,50,PSOL,Partido Socialismo e Liberdade,renatasouza@alerj.rj.gov.br
Renato Cozzolino,Renato Cozzolino,51,PRP,Partido Republicano Progressista,renatocozzolino@alerj.rj.gov.br
Renato Costa De Oliveira,Renato Zaca,52,PSL,Partido Social Liberal,renatozaca@alerj.rj.gov.br
Rodrigo Amorim,Rodrigo Amorim,53,PSL,Partido Social Liberal,rodrigoamorim@alerj.rj.gov.br
Rosane Felix Do Nascimento Malta,Rosane Felix,55,PSD,Partido Social Democrático,rosanefelix@alerj.rj.gov.br
Rosenverg Reis,Rosenverg Reis,56,MDB,Movimento Democrático Brasileiro,rosenvergreis@alerj.rj.gov.br
Samuel Malafaia,Samuel Malafaia,57,DEM,Democratas,samuelmalafaia@alerj.rj.gov.br
Sergio Fernandes,Sergio Fernandes,58,PDT,Partido Democrático Trabalhista,sergiofernandes@alerj.rj.gov.br
Sergio Louback,Sergio Louback,59,PSC,Partido Social Cristão,sergiolouback@alerj.rj.gov.br
Mauro Bernardo Dos Santos,Sub Tenente Bernardo,60,PROS,Partido Republicano da Ordem Social,subtenentebernardo@alerj.rj.gov.br
Thiago Pampolha,Thiago Pampolha,61,PDT,Partido Democrático Trabalhista,thiagopampolha@alerj.rj.gov.br
Tia Ju,Tia Ju,62,REP,Republicanos,tiaju@alerj.rj.gov.br
Roosevelt Barreto Barcelos,Val Ceasa,63,PATRI,Patriota,valceasa@alerj.rj.gov.br
Valdecy da Saúde,Valdecy da Saúde,64,PHS,Partido Humanista da Solidariedade,valdecydasaude@alerj.rj.gov.br
Vandro Lopes Gonçalves,Vandro Familia,65,SDD,Solidariedade,vandrofamilia@alerj.rj.gov.br
Welberth Porto De Rezende,Welberth Rezende,67,PPS,Partido Popular Socialista,welberthrezende@alerj.rj.gov.br
