congressman_id|congressman_name|congressman_nickname|date|value|object|to|code|parent_code|description|cost_center_id
1.26|Alana Passos|Alana Passos|2019-12-20 16:31:34|-325.07|COMBUSTÍVEIS NF 26.762 e 2.791|Posto de Gasolina Rias Baixas LTDA||||23
1.27|Alana Passos|Alana Passos|2019-12-04 15:05:35|-255.84|COMBUSTIVEIS NF  13.950 DE 03/12/19.|Posto de Gasolina Rias Baixas LTDA||||23
1.28|Alana Passos|Alana Passos|2019-12-31 16:26:54|-10.00|DEVOLUÇÃO (AJUSTE) EXERCÍCIO 2019|Assembleia Legislativa do Estado do Rio de Janeiro||||26
1.29|Alana Passos|Alana Passos|2019-11-18 17:27:24|-823.67|COMBUSTÍVEIS CONFORME NF 26.354 - R$ 195,85; NF 26.302 - R$ 18,97; NF 26.301 - R$ 164,59; NF  26.252; NF26.211 - R$ 268,02|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.30|Alana Passos|Alana Passos|2019-11-10 19:56:52|-1550.00|LOCAÇÃO DE GABINETE AVANÇADO REF. NOVEMBRO DE 2019|SILVERIO ANTONIO LAZARONI|III.a|III|Locação de imóveis|7
1.31|Alana Passos|Alana Passos|2019-11-30 15:14:13|-592.73|COMBUSTÍVEIS NF 026.444; NF 026.481; NF 026.511|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.32|Alana Passos|Alana Passos|2019-11-18 17:26:24|-6500.00|Locação de Veículo Blindado Toyota Corolla|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.33|Alana Passos|Alana Passos|2019-11-30 15:13:57|-6000.00|SERVIÇOS DE PUBLICIDADE E COMUNICAÇÃO|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.34|Alana Passos|Alana Passos|2019-10-18 16:44:00|-1550.00|LOCAÇÃO IMOVEL PARA GABINETE AVANÇADO CONFORME CONTRATO|SILVERIO ANTONIO LAZARONI|III.a|III|Locação de imóveis|7
1.35|Alana Passos|Alana Passos|2019-10-03 14:32:37|-234.37|COMBUSTÍVEIS CONFORME NF 025.791 DE 02/10/19|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.36|Alana Passos|Alana Passos|2019-10-31 18:22:57|-6000.00|SERVIÇOS DE ASSESSORIA DE IMPRENSA E COMUNICAÇÃO|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.37|Alana Passos|Alana Passos|2019-10-18 15:42:47|-6500.00|Locação de Veículo Blindado Toyota Corolla GLI Blindado|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.38|Alana Passos|Alana Passos|2019-10-22 20:31:48|-687.39|COMBUSTIVEIS CONFORME NFS 25.847 DE 07/10/19; 25.890 DE 10/10/19; 25.952 DE 15/10/19 E 25.997 DE 17/10/19|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.39|Alana Passos|Alana Passos|2019-10-31 18:20:49|-689.51|COMBUSTÍVEIS CONFORME NFS 026.052 DE 22/10/19 - R$ 170,63; 026.094 DE 25/10/19 - R$ 215,14; 026.124 DE 29/10/19 - R$ 162,10 E 013.779 DE 31/10/19 - R$ 141,64|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.40|Alana Passos|Alana Passos|2019-09-17 20:08:16|-915.44|COMBUSTÍVEIS PAGO ATRAVÉS DAS NFS 025.568; 025.519; 025.458; 025.425 E 025.384|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.41|Alana Passos|Alana Passos|2019-09-30 18:46:21|-6000.00|Serviço de assessoria de imprensa e comunicação prestados em Set.19|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.42|Alana Passos|Alana Passos|2019-09-02 19:03:28|-20319.98|Devolução de saldo anterior não utilizado|Assembleia Legislativa do Estado do Rio de Janeiro|4||Devolução de saldo|26
1.43|Alana Passos|Alana Passos|2019-09-10 18:56:02|-1550.00|Locação de imóvel usado como Gabinete Avançado Set.19|SILVERIO ANTONIO LAZARONI||||7
1.44|Alana Passos|Alana Passos|2019-09-18 16:40:34|-6500.00|LOCAÇÃO DE UM VEICULO TOYOTA COROLA GLI BLINDADO|HORIZONTE LOCADORA DE VEÍCULOS LTDA||||21
1.45|Alana Passos|Alana Passos|2019-09-03 18:08:34|-195.14|COMBUSTÍVEIS CONFORME NF 25.110|Posto de Gasolina Rias Baixas LTDA||||23
1.46|Alana Passos|Alana Passos|2019-09-30 14:44:25|-484.03|COMBUSTÍVEIS CONFORME NF 025.634, NF 025.668 e NF 025.725|Posto de Gasolina Rias Baixas LTDA||||23
1.47|Alana Passos|Alana Passos|2019-08-15 17:30:28|-808.92|COMBUSTIVEL - NOTAS FISCAIS 024.956; 025.001 e 025.055|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.48|Alana Passos|Alana Passos|2019-08-18 14:44:47|-6500.00|LOCAÇÃO DE VEICULO TOYOTA COROLLA GLI|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.49|Alana Passos|Alana Passos|2019-08-10 14:41:19|-1550.00|LOCAÇÃO DE IMÓVEL SITUADO NA RUA VEREADOR MARINHO HEMETERIO DE OLIVEIRA, 853 UNIDADE 410 QUEIMADOS RJ|SILVERIO ANTONIO LAZARONI|III.a|III|Locação de imóveis|7
1.50|Alana Passos|Alana Passos|2019-08-02 18:33:48|-776.77|PASSAGEM AÉREA RIO X BRASILIA X RIO|SANTA VIAGEM TURISMO E EVENTOS EIRELI ME|I||Passagens aéreas e terrestres|4
1.51|Alana Passos|Alana Passos|2019-08-31 20:32:11|-6000.00|Serviços de Assessoria de Imprensa e Comunicação|A3 SERVICOS DE PUBLICIDADE E COMUNICAÇÃO LTDA|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
1.52|Alana Passos|Alana Passos|2019-08-31 18:15:35|-689.51|COMBUSTIVEIS NFs 25.110; 25.151 E 25.268|Posto de Gasolina Rias Baixas LTDA|VII||Combustíveis e lubrificantes|23
1.53|Alana Passos|Alana Passos|2019-07-18 14:16:43|-6500.00|LOCAÇÃO DE VEÍCULO TOYOTA COROLLA GLI BLINDADO|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
1.54|Alana Passos|Alana Passos|2019-06-18 17:07:03|-6500.00|LOCAÇÃO DE VEICULO MARCA TOYOTA MODELO COROLLA GLI AUTOMÁTICO BLINDADO|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
2|Alexandre Freitas|Alexandre Freitas|2020-05-04 17:50:40|-10.00|TARIFA BANCARIA|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.1|Alexandre Freitas|Alexandre Freitas|2020-04-01 19:05:23|-10.00|TARIFA BANCARIA|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.2|Alexandre Freitas|Alexandre Freitas|2020-03-11 00:11:17|-190.00|MOTORISTA DE APLICATIVO|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.3|Alexandre Freitas|Alexandre Freitas|2020-03-11 00:11:17|-190.00|MOTORISTA DE APLICATIVO|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.4|Alexandre Freitas|Alexandre Freitas|2020-03-11 00:11:21|-190.00|MOTORISTA DE APLICATIVO|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.5|Alexandre Freitas|Alexandre Freitas|2020-03-05 00:06:47|-190.00|MOTORISTA DE APLICATIVO|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.6|Alexandre Freitas|Alexandre Freitas|2020-03-05 00:08:16|-190.00|MOTORISTA DE APLICATIVO|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.7|Alexandre Freitas|Alexandre Freitas|2020-03-11 00:11:17|-190.00|MOTORISTA DE APLICATIVO|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.8|Alexandre Freitas|Alexandre Freitas|2020-03-11 00:11:21|-190.00|MOTORISTA DE APLICATIVO|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.9|Alexandre Freitas|Alexandre Freitas|2020-03-02 23:48:47|-10.00|TARIFA BANCARIA|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.10|Alexandre Freitas|Alexandre Freitas|2020-02-19 17:07:13|-190.00|Motorista de aplicativo|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.11|Alexandre Freitas|Alexandre Freitas|2020-02-18 20:59:05|-296.35|COMBUSTIVEL|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.12|Alexandre Freitas|Alexandre Freitas|2020-02-03 20:46:08|-369.04|PASSAGEM AÉREA|DECOLAR. COM LTDA|I||Passagens aéreas e terrestres|4
2.13|Alexandre Freitas|Alexandre Freitas|2020-02-06 20:48:09|-273.80|COMBUSTÍVEL|POSTO BRACARENSE|VII||Combustíveis e lubrificantes|23
2.14|Alexandre Freitas|Alexandre Freitas|2020-02-03 20:27:23|-10.00|tarifa bancária|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.15|Alexandre Freitas|Alexandre Freitas|2020-02-03 20:45:24|-1956.52|PASSAGEM AÉREA|DECOLAR. COM LTDA|I||Passagens aéreas e terrestres|4
2.16|Alexandre Freitas|Alexandre Freitas|2020-02-18 17:04:59|-380.00|Motorista de aplicativo|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.17|Alexandre Freitas|Alexandre Freitas|2020-02-18 21:00:48|-733.92|DIÁRIA PARLAMENTAR|ALEXANDRE FREITAS|X||Diárias para Parlamentar e de seus assessores, observando as formalidades e nos limites financeiros estabelecidos no ato da Mesa Diretora N/MD/ Nº 566/2011|27
2.18|Alexandre Freitas|Alexandre Freitas|2020-02-19 17:06:05|-190.00|Motorista de aplicativo|UBER DO BRASIL TECNOLOGIA LTDA|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
2.19|Alexandre Freitas|Alexandre Freitas|2020-01-23 20:20:07|-268.48|COMBUSTÍVEL|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.20|Alexandre Freitas|Alexandre Freitas|2020-01-28 20:21:24|-305.94|COMBUSTÍVEL|POSTO DE GASOLINA GUADIANA LTDA|VII||Combustíveis e lubrificantes|23
2.21|Alexandre Freitas|Alexandre Freitas|2020-01-31 20:22:40|-295.73|COMBUSTÍVEL|POSTO DE GASOLINA COROA DO MAR|VII||Combustíveis e lubrificantes|23
2.22|Alexandre Freitas|Alexandre Freitas|2020-01-02 20:11:03|-10.00|tarifa bancária cartão débito|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.23|Alexandre Freitas|Alexandre Freitas|2020-01-06 20:14:17|-100.00|transporte|METRO RIO|VI||Outras despesas com locomoção|20
2.24|Alexandre Freitas|Alexandre Freitas|2020-01-11 16:50:54|-302.20|combustível|POSTO DE ABASTECIMENTO SANTA RITA DA TIJUCA|VII||Combustíveis e lubrificantes|23
2.25|Alexandre Freitas|Alexandre Freitas|2019-12-09 17:24:24|-254.54|combustível|POSTO DE GÁS CANARIO LTDA|VII||Combustíveis e lubrificantes|23
2.26|Alexandre Freitas|Alexandre Freitas|2019-12-17 17:26:49|-270.30|combustível|POSTO BRACARENSE|VII||Combustíveis e lubrificantes|23
2.27|Alexandre Freitas|Alexandre Freitas|2019-12-02 16:57:09|-10.00|tarifa bancária|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.28|Alexandre Freitas|Alexandre Freitas|2019-12-20 17:43:32|-260.06|combustível|POSTO DE GASOLINA JUREMA LTDA|VII||Combustíveis e lubrificantes|23
2.29|Alexandre Freitas|Alexandre Freitas|2019-12-17 17:39:45|-50.00|transporte|METRO RIO|I||Passagens aéreas e terrestres|4
2.30|Alexandre Freitas|Alexandre Freitas|2019-12-03 17:00:25|-612.51|diária assessor|TEO DO COUTTO DE SÁ ALVES|X||Diárias para Parlamentar e de seus assessores, observando as formalidades e nos limites financeiros estabelecidos no ato da Mesa Diretora N/MD/ Nº 566/2011|27
2.31|Alexandre Freitas|Alexandre Freitas|2019-12-20 18:13:41|-143903.19|devolução 2º semestre/2019|ALERJ|4||Devolução de saldo|26
2.32|Alexandre Freitas|Alexandre Freitas|2019-12-03 17:13:59|-733.92|Diária de parlamentar|ALEXANDRE FREITAS||||27
2.33|Alexandre Freitas|Alexandre Freitas|2019-12-06 17:21:22|-262.00|Combustível|POSTO DE GASOLINA JUREMA LTDA||||23
2.34|Alexandre Freitas|Alexandre Freitas|2019-12-31 15:01:43|-739.94|devolução (ajuste) exercício 2019|Assembleia Legislativa do Estado do Rio de Janeiro||||26
2.35|Alexandre Freitas|Alexandre Freitas|2019-11-05 16:32:44|-239.80|combustível|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.36|Alexandre Freitas|Alexandre Freitas|2019-11-12 16:50:49|-50.00|TRANSPORTE PUBLICO|METRO RIO|VI||Outras despesas com locomoção|20
2.37|Alexandre Freitas|Alexandre Freitas|2019-11-26 17:50:37|-267.00|COMBUSTÍVEL|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.38|Alexandre Freitas|Alexandre Freitas|2019-11-01 16:30:50|-10.00|tarifa bancária cartão de débito|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.39|Alexandre Freitas|Alexandre Freitas|2019-11-08 16:44:08|-283.04|COMBUSTÍVEL|POSTO DE GASOLINA JUREMA LTDA|VII||Combustíveis e lubrificantes|23
2.40|Alexandre Freitas|Alexandre Freitas|2019-11-24 17:46:19|-221.75|COMBUSTÍVEL|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.41|Alexandre Freitas|Alexandre Freitas|2019-11-19 16:56:24|-535.22|PASSAGEM AÉREA|DECOLAR. COM LTDA|I||Passagens aéreas e terrestres|4
2.42|Alexandre Freitas|Alexandre Freitas|2019-11-25 17:23:35|-3726.00|passagem aérea|DECOLAR. COM LTDA|I||Passagens aéreas e terrestres|4
2.43|Alexandre Freitas|Alexandre Freitas|2019-11-19 17:08:19|-239.84|combustivel|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.44|Alexandre Freitas|Alexandre Freitas|2019-11-30 18:06:04|-238.10|combustível|POSTO DE GASOLINA JUREMA LTDA|VII||Combustíveis e lubrificantes|23
2.45|Alexandre Freitas|Alexandre Freitas|2019-10-31 19:18:16|-244.91|COMBUSTIVEL|rede energia ltda|VII||Combustíveis e lubrificantes|23
2.46|Alexandre Freitas|Alexandre Freitas|2019-10-28 19:21:01|-277.60|COMBUSTÍVEL|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.47|Alexandre Freitas|Alexandre Freitas|2019-10-31 19:12:38|-187.99|COMBUSTIVEL|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.48|Alexandre Freitas|Alexandre Freitas|2019-10-18 19:03:49|-287.83|COMBUSTIVEL|Auto Posto Vilar dos Teles LTDA|VII||Combustíveis e lubrificantes|23
2.49|Alexandre Freitas|Alexandre Freitas|2019-10-09 18:44:47|-3362.52|Passagem aérea|DECOLAR. COM LTDA|I||Passagens aéreas e terrestres|4
2.50|Alexandre Freitas|Alexandre Freitas|2019-10-01 18:37:09|-10.00|Tarifa bancária/ cartão de débito|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.51|Alexandre Freitas|Alexandre Freitas|2019-10-11 13:03:42|-258.77|combustivel|Posto Rio Sâo Paulo Ltda|VII||Combustíveis e lubrificantes|23
2.52|Alexandre Freitas|Alexandre Freitas|2019-09-30 14:46:48|-10.00|tarifa bancária/cartão de débito|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
2.53|Alexandre Freitas|Alexandre Freitas|2019-09-04 20:35:24|-535.92|PASSAGEM AÉREA|DECOLAR. COM LTDA|I||Passagens aéreas e terrestres|4
2.54|Alexandre Freitas|Alexandre Freitas|2019-08-28 16:50:49|-53639.96|Devolução de saldo acumulado no 1º semestre de 2019|Assembleia Legislativa do Estado do Rio de Janeiro|4||Devolução de saldo|26
2.55|Alexandre Freitas|Alexandre Freitas|2019-08-16 18:22:58|-167.47|COMBUSTÍVEL|POSTO DE GASOLINA JUREMA LTDA||||23
2.56|Alexandre Freitas|Alexandre Freitas|2019-08-15 18:09:47|-248.91|COMBUSTIVEL|Auto Posto Vilar dos Teles LTDA||||23
2.57|Alexandre Freitas|Alexandre Freitas|2019-08-08 18:00:43|-275.54|combustivel|POSTO BRACARENSE||||23
2.58|Alexandre Freitas|Alexandre Freitas|2019-08-02 17:45:12|-260.02|combustivel|POSTO DE GASOLINA JUREMA LTDA||||23
2.59|Alexandre Freitas|Alexandre Freitas|2019-08-22 18:31:44|-277.65|COMBUSTÍVEL|POSTO BRACARENSE LTDA||||23
2.60|Alexandre Freitas|Alexandre Freitas|2019-08-28 15:56:28|-319.70|PASSAGEM AEREA|DECOLAR. COM LTDA||||4
2.61|Alexandre Freitas|Alexandre Freitas|2019-07-24 13:40:33|-231.06|combustível|POSTO DE GASOLINA JUREMA LTDA|VII||Combustíveis e lubrificantes|23
2.62|Alexandre Freitas|Alexandre Freitas|2019-07-01 14:54:34|-1056.78|passagem aerea|DECOLAR. COM LTDA|I||Passagens aéreas e terrestres|4
3|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-05-05 15:20:22|-2053.00|Abastecimento de veículo|Ticket Solucoes HDFGT S/A|VII||Combustíveis e lubrificantes|23
3.1|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-05-31 15:50:45|-2500.00|Locação de veículo|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
3.2|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-05-04 15:18:25|-10.00|Tarifa Cartão Itaú|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
3.3|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-05-31 13:39:29|-94.74|Reuniões por videoconferência (Zoom)|BANCO ITAU|IV.e|IV|Locação ou aquisição de licença de uso de software|16
3.4|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-05-30 12:45:13|-9650.00|Locação de veículo|VELOZ TRANSRIO TRANSPORTE LTDA.|VI.a|VI|Locação ou fretamento de veículos automotores|21
3.5|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-05-31 18:02:45|-2200.00|Serviços gráficos e digitais|L F TORRES DE FREITAS ARTE E DESIGN|VIII||Divulgação de sua atividade parlamentar, respeitadas as vedações de leis eleitorais.|24
3.6|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-04-01 14:48:21|-10.00|Tarifa Cartão Itaú|BANCO ITAU|XI||Tarifas bancárias da conta corrente prevista no inciso II do art. 3º|28
3.7|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-04-03 14:50:17|-2053.00|Abastecimento de veículo|Ticket Solucoes HDFGT S/A|VII||Combustíveis e lubrificantes|23
3.8|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-04-30 15:10:19|-9650.00|Locação de veículo|VELOZ TRANSRIO TRANSPORTE LTDA.|VI.a|VI|Locação ou fretamento de veículos automotores|21
3.9|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-04-14 15:13:33|-70.00|Recarga de Bilhete Único|RIOPAR PARTICIPAÇÕES S.A.|VI.b|VI|Serviços de táxi, serviços de transporte individual privado de passageiros baseado em tecnologia de comunicação em rede - STIP|22
3.10|Alexandre Gomes Knoploch dos Santos|Alexandre Knoploch|2020-04-30 13:12:20|-2500.00|Locação de veículo|HORIZONTE LOCADORA DE VEÍCULOS|VI.a|VI|Locação ou fretamento de veículos automotores|21
